"Title","Writer","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X","n"
"메트로 2033 유니버스 : 사라진 태양","안드레이 디야코프","X",12420,328,1,8,279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"메트로 2033 유니버스 : 지하의 노래 (상)","쉬문 브로첵","X",9000,320,2,8,408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"메트로 2033 유니버스 : 지하의 노래 (하)","쉬문 브로첵","X",9000,336,1,8,366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"메트로 2034 (METRO 2034)","드미트리 글루코프스키","X",12420,400,8,7,3120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"메피스토","클라우스 만","X",21333.33,566,0,0,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"멘눌라라 ","시모네타 아녤로 혼비","X",12420,392,62,8,138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"멜라니","박나리 역","X",13500,548,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"멜라니의 바이올린","허닝","X",10800,368,23,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"멜랑콜리의 묘약","레이 브래드버리","X",13320,352,2,8,1020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"며느리를 그만두는 날","가키야 미우","X",12150,304,28,8,1644,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"면세구역","듀나","X",11700,326,7,8,126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"면장 선거","오쿠다 히데오","X",10350,312,2,8,750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"멸화군","정명섭","X",11700,452,24,8,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명당","백금남","X",12600,352,0,0,2112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"명동","김동하","X",8100,307,2,9,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"명두","구효서","X",7650,112,2,8,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명랑한 외출","김민혜","X",12350,238,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명량 1","박은우","X",10350,304,49,8,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"명량 1,2권 세트","박은우","X",20700,608,93,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"명량 2","박은우","X",10350,304,40,8,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"명량, 왜곡과 진실 상","배영규","X",13500,394,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"명량, 왜곡과 진실 하","배영규","X",13500,374,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"명성","남지심","X",15300,360,1,8,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명성황후는 시해당하지 않았다","신용우","X",12160,368,7,8,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"명암","나쓰메 소세키","X",13500,586,6.5,8,627,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"명암(明暗)","나쓰메 소세키","X",15120,588,3,8,618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명예","다니엘 켈만","X",9000,203,10,8,228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명예의 조각들","로이스 맥마스터 부졸드","X",12420,384,30,8,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"명왕성 파티","히라야마 미즈호","X",8550,406,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명장면으로 읽는 세계 명작선 1","레프 톨스토이, 마크 트웨인, 앙드레 지드, 루드야드 키플링, 오스카 와일드","X",4400,240,11,8,138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명장면으로 읽는 세계 명작선 2","벤자민 프랭클린, 로맹 롤랑, 미하일 숄로호프, 알퐁스 도데, 아나톨 프랑스","X",4400,240,9,8,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명줄","김지연","X",9000,245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명탐견 마사의 사건 일지","미야베 미유키","X",10800,354,55,7,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정 따위 두렵지 않다","니시무라 교타로","X",10800,312,17,6,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정 셜록 홈즈","아서 코난 도일","X",9000,352,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정 셜록 홈즈 추리 걸작선 ","아서 코난 도일","X",9000,464,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정 코난 10","아오야마 고쇼 글그림","X",4050,184,8,8,3744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 11","아오야마 고쇼 글그림","X",4050,180,5,8,3306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 12","아오야마 고쇼 글그림","X",4050,183,6,8,3240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 13","아오야마 고쇼 글그림","X",4050,183,4,8,3366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 14","아오야마 고쇼 글그림","X",4050,183,3,9,3276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 15","아오야마 고쇼 글그림","X",4050,180,5,8,3168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 16","아오야마 고쇼 글그림","X",4050,182,6,8,3102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 17","아오야마 고쇼 글그림","X",4050,182,5,8,2532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 18","아오야마 고쇼 글그림","X",4050,182,7,8,2886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 19","아오야마 고쇼 글그림","X",4050,150,3,8,2676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 2","아오야마 고쇼 글그림","X",4050,176,11,8,4326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 20","아오야마 고쇼 글그림","X",4050,184,4,7,2652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 21","아오야마 고쇼 글그림","X",4050,192,5,7,2760,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 22","아오야마 고쇼 글그림","X",4050,180,5,8,2568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 23","아오야마 고쇼 글그림","X",4050,180,5,8,2736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 3","아오야마 고쇼 글그림","X",4050,178,5,8,4284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 4","아오야마 고쇼 글그림","X",4050,174,5,8,4116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 5","아오야마 고쇼 글그림","X",4050,190,10,8,4230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 6","아오야마 고쇼 글그림","X",4050,200,7,8,3690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 7","아오야마 고쇼 글그림","X",4050,150,6,8,3606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 8","아오야마 고쇼 글그림","X",4050,186,7,7,3666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 코난 9","아오야마 고쇼 글그림","X",4050,178,6,8,3630,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 파커 파인","애거사 크리스티","X",5400,319,6,6,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"명탐정 푸아로 베스트 세트","애거사 크리스티","X",40000,NA,1,10,1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정 홈즈걸 1","오사키 고즈에","X",9000,287,107,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정 홈즈걸 2","오사키 고즈에","X",9000,288,37,8,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명탐정 홈즈걸 3","오사키 고즈에","X",9000,288,25,8,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"명탐정에게 장미를","시로다이라 쿄","X",12420,360,15,8,810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정의 규칙","히가시노 게이고","X",12420,372,93,8,1164,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"명탐정의 저주","히가시노 게이고","X",12420,328,59,6,676,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3
"명품 가수 박태공 6","에바트리체","X",7200,300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"몇 번인가의 최후","구사카 요코","X",10800,360,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"모건의 길 1","콜린 매컬로","X",8100,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"모건의 길 2","콜린 매컬로","X",8100,411,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"모기의 복수","양효성","X",10800,448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"모나 Mona","단 T. 셀베리","X",13320,558,10,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"모나 리자 오버드라이브","윌리엄 깁슨","X",13320,404,0,0,210,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"모나리자 바이러스","티보어 로데","X",13320,540,130,8,429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"모나리자에게 보내는 편지","이홍사","X",9000,285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"모내기 블루스","김종광","X",7200,320,8,7,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"모닝 스타 1","피어스 브라운","X",13320,556,3,8,384,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
