"Title","Writer","Series","Price","Pagenum","Reviewcount","Score","Sellnum","Novel_X","Novel_Korea","Novel_United","Novel_Japan","Novel_China","Novel_SpainLatin","Novel_France","Novel_Germany","Novel_Russia","Novel_Italy","Novel_EEurope","Novel_NEurope","Novel_EtcCountry","Novel_WriterSelect","Genre_Mystery","Genre_Horror","Genre_Fantasy","Genre_Martialart","Genre_SF","Genre_Thriller","Genre_History","Genre_X"
"의원강호 12",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 13",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 14",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 15",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 16",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 17",613,12,7200,320,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 18",613,12,7200,320,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 19",613,12,7200,320,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 2",613,12,7200,301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 20",613,12,7200,336,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 21",613,12,7200,336,0,0,174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 3",613,12,7200,304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 4",613,12,7200,304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 5",613,12,7200,305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 6",613,12,7200,305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 7",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 8",613,12,7200,320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원강호 9",613,12,7200,336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원귀환 10",3422,12,7200,296,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"의원귀환 9",3422,12,7200,296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
